user_id,author,role,has_query,has_candidate,is_distractor
user_0077,moe,distractor,0,1,1
user_0078,modeless,query,1,1,0
user_0079,mmastrac,distractor,0,1,1
user_0080,mlyle,distractor,0,1,1
user_0081,mlindner,query,1,1,0
user_0082,mkl,query,1,1,0
user_0083,mjevans,query,1,1,0
user_0084,mjburgess,query,1,1,0
user_0085,mixmastamyk,distractor,0,1,1
user_0086,mistrial9,distractor,0,1,1
user_0087,mistermann,distractor,0,1,1
user_0088,mistercow,query,1,1,0
user_0089,missedthecue,distractor,0,1,1
user_0090,mirimir,query,1,1,0
user_0091,minimaxir,distractor,0,1,1
user_0092,mindslight,distractor,0,1,1
user_0093,nikolay,distractor,0,1,1
user_0094,nitrogen,query,1,1,0
user_0095,mdaniel,query,1,1,0
user_0096,pbreit,query,1,1,0
user_0097,pessimizer,query,1,1,0
user_0098,perl4ever,distractor,0,1,1
user_0099,pengaru,query,1,1,0
user_0100,pedalpete,query,1,1,0
user_0101,pdonis,query,1,1,0
user_0102,pdimitar,distractor,0,1,1
user_0103,pcwalton,query,1,1,0
user_0104,pclmulqdq,query,1,1,0
user_0105,pc86,query,1,1,0
user_0106,pbhjpbhj,query,1,1,0
user_0107,pasbesoin,query,1,1,0
user_0108,paxys,distractor,0,1,1
user_0109,pavlov,query,1,1,0
user_0110,pavel_lishin,query,1,1,0
user_0111,paulryanrogers,query,1,1,0
user_0112,paulpauper,query,1,1,0
user_0113,paulmd,query,1,1,0
user_0114,paulgb,distractor,0,1,1
user_0115,paulddraper,query,1,1,0
user_0116,paulcole,distractor,0,1,1
user_0117,petercooper,query,1,1,0
user_0118,peteretep,query,1,1,0
user_0119,peterwwillis,query,1,1,0
user_0120,petre,distractor,0,1,1
user_0121,pornel,distractor,0,1,1
user_0122,pnathan,distractor,0,1,1
user_0123,pmoriarty,query,1,1,0
user_0124,pmontra,query,1,1,0
user_0125,pmiller2,distractor,0,1,1
user_0126,pmarreck,distractor,0,1,1
user_0127,pm90,distractor,0,1,1
user_0128,platz,query,1,1,0
user_0129,pkaye,query,1,1,0
user_0130,pjmlp,distractor,0,1,1
user_0131,pjc50,query,1,1,0
user_0132,pixl97,query,1,1,0
user_0133,piva00,distractor,0,1,1
user_0134,pier25,query,1,1,0
user_0135,phkahler,query,1,1,0
user_0136,philwelch,query,1,1,0
user_0137,phendrenad2,distractor,0,1,1
user_0138,pg,query,1,1,0
user_0139,pfdietz,distractor,0,1,1
user_0140,patio11,distractor,0,1,1
user_0141,pas,distractor,0,1,1
user_0142,nitwit005,query,1,1,0
user_0143,noonespecial,query,1,1,0
user_0144,nullc,query,1,1,0
user_0145,nsxwolf,distractor,0,1,1
user_0146,nradov,distractor,0,1,1
user_0147,nottorp,query,1,1,0
user_0148,notatoad,distractor,0,1,1
user_0149,notahacker,distractor,0,1,1
user_0150,notacoward,distractor,0,1,1
user_0151,nostromo,distractor,0,1,1
user_0152,nostrademons,query,1,1,0
user_0153,noobermin,query,1,1,0
user_0154,panick21_,distractor,0,1,1
user_0155,nonethewiser,distractor,0,1,1
user_0156,nomel,distractor,0,1,1
user_0157,nojvek,query,1,1,0
user_0158,noir_lord,distractor,0,1,1
user_0159,noduerme,query,1,1,0
user_0160,nly,query,1,1,0
user_0161,nl,distractor,0,1,1
user_0162,nkurz,query,1,1,0
user_0163,nkrisc,distractor,0,1,1
user_0164,numpad0,query,1,1,0
user_0165,nunez,distractor,0,1,1
user_0166,oblio,query,1,1,0
user_0167,ocdtrekkie,query,1,1,0
user_0168,palata,query,1,1,0
user_0169,paganel,query,1,1,0
user_0170,pabs3,query,1,1,0
user_0171,p_l,query,1,1,0
user_0172,p1esk,distractor,0,1,1
user_0173,outworlder,distractor,0,1,1
user_0174,otterley,distractor,0,1,1
user_0175,otabdeveloper4,distractor,0,1,1
user_0176,orwin,query,1,1,0
user_0177,orf,distractor,0,1,1
user_0178,opportune,distractor,0,1,1
user_0179,onlyrealcuzzo,distractor,0,1,1
user_0180,onion2k,distractor,0,1,1
user_0181,oneeyedpigeon,distractor,0,1,1
user_0182,olliej,query,1,1,0
user_0183,olalonde,query,1,1,0
user_0184,ojbyrne,query,1,1,0
user_0185,oh_sigh,distractor,0,1,1
user_0186,oefrha,distractor,0,1,1
user_0187,mdp2021,distractor,0,1,1
user_0188,mcv,query,1,1,0
user_0189,0xbadcafebee,distractor,0,1,1
user_0190,kazinator,distractor,0,1,1
user_0191,kevin_thibedeau,query,1,1,0
user_0192,kerkeslager,distractor,0,1,1
user_0193,kergonath,distractor,0,1,1
user_0194,kenjackson,distractor,0,1,1
user_0195,kelseyfrog,query,1,1,0
user_0196,kelnos,distractor,0,1,1
user_0197,keiferski,query,1,1,0
user_0198,kccqzy,distractor,0,1,1
user_0199,kbenson,distractor,0,1,1
user_0200,kasey_junk,distractor,0,1,1
user_0201,justin66,distractor,0,1,1
user_0202,karmakaze,distractor,0,1,1
user_0203,karaterobot,distractor,0,1,1
user_0204,kamaal,query,1,1,0
user_0205,kalleboo,query,1,1,0
user_0206,kaba0,query,1,1,0
user_0207,k__,distractor,0,1,1
user_0208,k-mcgrady,distractor,0,1,1
user_0209,jvanderbot,query,1,1,0
user_0210,justincormack,query,1,1,0
user_0211,kevincox,distractor,0,1,1
user_0212,kevingadd,distractor,0,1,1
user_0213,kgwgk,distractor,0,1,1
user_0214,kiba,distractor,0,1,1
user_0215,kstenerud,query,1,1,0
user_0216,ksec,query,1,1,0
user_0217,kristopolous,query,1,1,0
user_0218,krapp,query,1,1,0
user_0219,krageon,query,1,1,0
user_0220,kragen,query,1,1,0
user_0221,kqr,query,1,1,0
user_0222,kortilla,distractor,0,1,1
user_0223,koolba,query,1,1,0
user_0224,komali2,query,1,1,0
user_0225,koheripbal,query,1,1,0
user_0226,known,query,1,1,0
user_0227,klyrs,distractor,0,1,1
user_0228,klodolph,query,1,1,0
user_0229,kllrnohj,query,1,1,0
user_0230,kjs3,distractor,0,1,1
user_0231,kjkjadksj,query,1,1,0
user_0232,kijin,distractor,0,1,1
user_0233,kibwen,distractor,0,1,1
user_0234,justinclift,query,1,1,0
user_0235,junon,query,1,1,0
user_0236,kube-system,query,1,1,0
user_0237,jimmaswell,distractor,0,1,1
user_0238,joe_the_user,distractor,0,1,1
user_0239,jodrellblank,query,1,1,0
user_0240,jlgaddis,distractor,0,1,1
user_0241,jl6,query,1,1,0
user_0242,jjtheblunt,distractor,0,1,1
user_0243,jjoonathan,query,1,1,0
user_0244,jjk166,query,1,1,0
user_0245,jjeaff,query,1,1,0
user_0246,jjav,query,1,1,0
user_0247,jimbokun,query,1,1,0
user_0248,judge2020,distractor,0,1,1
user_0249,jillesvangurp,query,1,1,0
user_0250,jiggawatts,distractor,0,1,1
user_0251,jgrahamc,query,1,1,0
user_0252,jgalt212,distractor,0,1,1
user_0253,jfengel,query,1,1,0
user_0254,jessriedel,query,1,1,0
user_0255,jessaustin,query,1,1,0
user_0256,jeroenhd,query,1,1,0
user_0257,jerf,distractor,0,1,1
user_0258,joezydeco,query,1,1,0
user_0259,johnchristopher,distractor,0,1,1
user_0260,johnisgood,distractor,0,1,1
user_0261,johnnyanmac,distractor,0,1,1
user_0262,jstanley,distractor,0,1,1
user_0263,jsnell,distractor,0,1,1
user_0264,jsjohnst,distractor,0,1,1
user_0265,jsheard,distractor,0,1,1
user_0266,js2,distractor,0,1,1
user_0267,jrockway,distractor,0,1,1
user_0268,jrochkind1,query,1,1,0
user_0269,jraph,query,1,1,0
user_0270,jqpabc123,query,1,1,0
user_0271,josteink,query,1,1,0
user_0272,joshuamorton,query,1,1,0
user_0273,joshu,distractor,0,1,1
user_0274,joshstrange,query,1,1,0
user_0275,josephg,query,1,1,0
user_0276,josephcsible,distractor,0,1,1
user_0277,josefresco,query,1,1,0
user_0278,jonny_eh,distractor,0,1,1
user_0279,jonknee,query,1,1,0
user_0280,jokoon,distractor,0,1,1
user_0281,kstrauser,distractor,0,1,1
user_0282,kuschku,query,1,1,0
user_0283,mcphage,distractor,0,1,1
user_0284,mahmud,query,1,1,0
user_0285,marcosdumay,query,1,1,0
user_0286,marcinzm,query,1,1,0
user_0287,mannykannot,distractor,0,1,1
user_0288,manigandham,distractor,0,1,1
user_0289,malandrew,query,1,1,0
user_0290,makomk,distractor,0,1,1
user_0291,makeitdouble,distractor,0,1,1
user_0292,majormajor,query,1,1,0
user_0293,majewsky,query,1,1,0
user_0294,magicalhippo,distractor,0,1,1
user_0295,lutusp,distractor,0,1,1
user_0296,maerF0x0,distractor,0,1,1
user_0297,madeofpalk,query,1,1,0
user_0298,madaxe_again,distractor,0,1,1
user_0299,macspoofing,distractor,0,1,1
user_0300,macintux,distractor,0,1,1
user_0301,maccard,query,1,1,0
user_0302,mabbo,distractor,0,1,1
user_0303,m463,distractor,0,1,1
user_0304,m3kw9,query,1,1,0
user_0305,marcus_holmes,distractor,0,1,1
user_0306,marginalia_nu,query,1,1,0
user_0307,mark-r,query,1,1,0
user_0308,mark_l_watson,query,1,1,0
user_0309,mcguire,distractor,0,1,1
user_0310,mc32,query,1,1,0
user_0311,mbreese,distractor,0,1,1
user_0312,mbesto,distractor,0,1,1
user_0313,maxxxxx,query,1,1,0
user_0314,maxerickson,distractor,0,1,1
user_0315,matwood,query,1,1,0
user_0316,mattmaroon,query,1,1,0
user_0317,mattmanser,distractor,0,1,1
user_0318,matthewmacleod,distractor,0,1,1
user_0319,matt4077,distractor,0,1,1
user_0320,matsemann,query,1,1,0
user_0321,matheusmoreira,distractor,0,1,1
user_0322,mathattack,query,1,1,0
user_0323,masonic,query,1,1,0
user_0324,masklinn,query,1,1,0
user_0325,marssaxman,distractor,0,1,1
user_0326,marshray,distractor,0,1,1
user_0327,markus_zhang,distractor,0,1,1
user_0328,lxgr,distractor,0,1,1
user_0329,lupire,distractor,0,1,1
user_0330,kwhitefoot,distractor,0,1,1
user_0331,learc83,distractor,0,1,1
user_0332,lifthrasiir,query,1,1,0
user_0333,lifeisstillgood,query,1,1,0
user_0334,lettergram,distractor,0,1,1
user_0335,lern_too_spel,distractor,0,1,1
user_0336,lelanthran,distractor,0,1,1
user_0337,legitster,distractor,0,1,1
user_0338,leetcrew,query,1,1,0
user_0339,leereeves,query,1,1,0
user_0340,leephillips,distractor,0,1,1
user_0341,lazide,query,1,1,0
user_0342,luckylion,query,1,1,0
user_0343,layer8,distractor,0,1,1
user_0344,lawnchair_larry,distractor,0,1,1
user_0345,laumars,query,1,1,0
user_0346,latexr,distractor,0,1,1
user_0347,latchkey,query,1,1,0
user_0348,lapcat,query,1,1,0
user_0349,lamontcg,query,1,1,0
user_0350,lallysingh,distractor,0,1,1
user_0351,kzrdude,distractor,0,1,1
user_0352,lisper,query,1,1,0
user_0353,lispm,query,1,1,0
user_0354,littlestymaar,distractor,0,1,1
user_0355,lloeki,distractor,0,1,1
user_0356,lucideer,distractor,0,1,1
user_0357,lucb1e,distractor,0,1,1
user_0358,lsc,query,1,1,0
user_0359,lproven,query,1,1,0
user_0360,lovich,distractor,0,1,1
user_0361,loup-vaillant,distractor,0,1,1
user_0362,lotsofpulp,distractor,0,1,1
user_0363,lostmsu,query,1,1,0
user_0364,lostlogin,query,1,1,0
user_0365,lordnacho,distractor,0,1,1
user_0366,londons_explore,distractor,0,1,1
user_0367,lolinder,query,1,1,0
user_0368,logicchains,query,1,1,0
user_0369,logicallee,distractor,0,1,1
user_0370,logfromblammo,distractor,0,1,1
user_0371,loeg,query,1,1,0
user_0372,loceng,query,1,1,0
user_0373,lmm,distractor,0,1,1
user_0374,lm28469,query,1,1,0
user_0375,potatolicious,distractor,0,1,1
user_0376,prawn,distractor,0,1,1
user_0377,prepend,distractor,0,1,1
user_0378,tracker1,distractor,0,1,1
user_0379,tsimionescu,query,1,1,0
user_0380,tshaddox,query,1,1,0
user_0381,true_religion,distractor,0,1,1
user_0382,tromp,distractor,0,1,1
user_0383,tripzilch,query,1,1,0
user_0384,triceratops,distractor,0,1,1
user_0385,trhway,distractor,0,1,1
user_0386,tremon,distractor,0,1,1
user_0387,treis,distractor,0,1,1
user_0388,tptacek,query,1,1,0
user_0389,tomc1985,query,1,1,0
user_0390,toyg,query,1,1,0
user_0391,toss1,query,1,1,0
user_0392,tootie,query,1,1,0
user_0393,toomuchtodo,distractor,0,1,1
user_0394,tonyedgecombe,distractor,0,1,1
user_0395,tomrod,query,1,1,0
user_0396,tomp,distractor,0,1,1
user_0397,tomjen3,distractor,0,1,1
user_0398,tome,distractor,0,1,1
user_0399,tw04,distractor,0,1,1
user_0400,twblalock,query,1,1,0
user_0401,twic,distractor,0,1,1
user_0402,twoodfin,distractor,0,1,1
user_0403,vanderZwan,distractor,0,1,1
user_0404,valuearb,distractor,0,1,1
user_0405,vaksel,distractor,0,1,1
user_0406,vacri,query,1,1,0
user_0407,usrusr,distractor,0,1,1
user_0408,userbinator,query,1,1,0
user_0409,user5994461,query,1,1,0
user_0410,ur-whale,distractor,0,1,1
user_0411,uoaei,query,1,1,0
user_0412,untog,distractor,0,1,1
user_0413,unixhero,query,1,1,0
user_0414,unethical_ban,query,1,1,0
user_0415,unalone,distractor,0,1,1
user_0416,umvi,distractor,0,1,1
user_0417,ummonk,query,1,1,0
user_0418,umanwizard,distractor,0,1,1
user_0419,ubernostrum,distractor,0,1,1
user_0420,tzs,distractor,0,1,1
user_0421,tyingq,query,1,1,0
user_0422,tomcam,query,1,1,0
user_0423,tombert,query,1,1,0
user_0424,varjag,distractor,0,1,1
user_0425,teekert,distractor,0,1,1
user_0426,the_af,distractor,0,1,1
user_0427,the8472,distractor,0,1,1
user_0428,thaumaturgy,distractor,0,1,1
user_0429,thaumasiotes,distractor,0,1,1
user_0430,tgv,query,1,1,0
user_0431,tgsovlerkhgsel,distractor,0,1,1
user_0432,tempodox,distractor,0,1,1
user_0433,tempestn,query,1,1,0
user_0434,tel,query,1,1,0
user_0435,tedunangst,distractor,0,1,1
user_0436,tokenadult,distractor,0,1,1
user_0437,tedmiston,distractor,0,1,1
user_0438,teddyh,query,1,1,0
user_0439,taylodl,query,1,1,0
user_0440,taurath,distractor,0,1,1
user_0441,tantalor,query,1,1,0
user_0442,taneq,query,1,1,0
user_0443,tambourine_man,distractor,0,1,1
user_0444,talmand,distractor,0,1,1
user_0445,taeric,distractor,0,1,1
user_0446,the_mitsuhiko,query,1,1,0
user_0447,theamk,query,1,1,0
user_0448,theandrewbailey,distractor,0,1,1
user_0449,themodelplumber,query,1,1,0
user_0450,toast0,distractor,0,1,1
user_0451,tmaly,distractor,0,1,1
user_0452,tluyben2,distractor,0,1,1
user_0453,tlrobinson,query,1,1,0
user_0454,tlb,query,1,1,0
user_0455,titzer,distractor,0,1,1
user_0456,tinus_hn,distractor,0,1,1
user_0457,timr,distractor,0,1,1
user_0458,tim333,distractor,0,1,1
user_0459,tialaramex,distractor,0,1,1
user_0460,throwaway894345,query,1,1,0
user_0461,throwaway290,distractor,0,1,1
user_0462,throwaway2037,distractor,0,1,1
user_0463,throwanem,query,1,1,0
user_0464,throw0101a,distractor,0,1,1
user_0465,threeseed,query,1,1,0
user_0466,threatofrain,query,1,1,0
user_0467,thfuran,distractor,0,1,1
user_0468,theshrike79,distractor,0,1,1
user_0469,varispeed,query,1,1,0
user_0470,vasco,query,1,1,0
user_0471,prmoustache,query,1,1,0
user_0472,x0x0,query,1,1,0
user_0473,yencabulator,distractor,0,1,1
user_0474,yellowapple,query,1,1,0
user_0475,yardie,distractor,0,1,1
user_0476,xyzzyz,distractor,0,1,1
user_0477,xwdv,distractor,0,1,1
user_0478,xorcist,distractor,0,1,1
user_0479,xnx,query,1,1,0
user_0480,xiphias2,query,1,1,0
user_0481,xg15,distractor,0,1,1
user_0482,wyldfire,query,1,1,0
user_0483,woodruffw,distractor,0,1,1
user_0484,wyclif,distractor,0,1,1
user_0485,wyager,query,1,1,0
user_0486,ww520,distractor,0,1,1
user_0487,wvenable,query,1,1,0
user_0488,wutbrodo,distractor,0,1,1
user_0489,wtallis,query,1,1,0
user_0490,wslh,distractor,0,1,1
user_0491,wruza,distractor,0,1,1
user_0492,wpietri,distractor,0,1,1
user_0493,yesenadam,query,1,1,0
user_0494,yieldcrv,distractor,0,1,1
user_0495,yjftsjthsd-h,distractor,0,1,1
user_0496,yorwba,distractor,0,1,1
user_0497,zokier,distractor,0,1,1
user_0498,zo1,query,1,1,0
user_0499,znpy,query,1,1,0
user_0500,zmmmmm,distractor,0,1,1
user_0501,zitterbewegung,query,1,1,0
user_0502,zimpenfish,distractor,0,1,1
user_0503,zepto,distractor,0,1,1
user_0504,zem,distractor,0,1,1
user_0505,zelphirkalt,distractor,0,1,1
user_0506,zdragnar,query,1,1,0
user_0507,zaroth,distractor,0,1,1
user_0508,zanny,distractor,0,1,1
user_0509,zamalek,distractor,0,1,1
user_0510,zamadatix,distractor,0,1,1
user_0511,zaarn,distractor,0,1,1
user_0512,z3t4,query,1,1,0
user_0513,yummyfajitas,query,1,1,0
user_0514,yuhong,distractor,0,1,1
user_0515,yters,query,1,1,0
user_0516,worik,distractor,0,1,1
user_0517,wongarsu,distractor,0,1,1
user_0518,vbezhenar,query,1,1,0
user_0519,voltagex_,query,1,1,0
user_0520,walshemj,query,1,1,0
user_0521,walrus01,query,1,1,0
user_0522,wallflower,query,1,1,0
user_0523,wahnfrieden,distractor,0,1,1
user_0524,wahern,distractor,0,1,1
user_0525,w1ntermute,distractor,0,1,1
user_0526,vram22,distractor,0,1,1
user_0527,vorpalhex,query,1,1,0
user_0528,vonmoltke,distractor,0,1,1
user_0529,vlovich123,distractor,0,1,1
user_0530,wolverine876,query,1,1,0
user_0531,vkou,distractor,0,1,1
user_0532,visarga,distractor,0,1,1
user_0533,viraptor,distractor,0,1,1
user_0534,vinceguidry,distractor,0,1,1
user_0535,vidarh,distractor,0,1,1
user_0536,vetinari,query,1,1,0
user_0537,verdverm,distractor,0,1,1
user_0538,venomsnake,distractor,0,1,1
user_0539,vel0city,distractor,0,1,1
user_0540,walterbell,distractor,0,1,1
user_0541,waterlesscloud,query,1,1,0
user_0542,watwut,query,1,1,0
user_0543,wccrawford,distractor,0,1,1
user_0544,wodenokoto,query,1,1,0
user_0545,woah,distractor,0,1,1
user_0546,wmf,query,1,1,0
user_0547,wlesieutre,query,1,1,0
user_0548,wizzwizz4,distractor,0,1,1
user_0549,withinboredom,distractor,0,1,1
user_0550,wiseowise,query,1,1,0
user_0551,willis936,query,1,1,0
user_0552,willcipriano,query,1,1,0
user_0553,wil421,query,1,1,0
user_0554,whywhywhywhy,query,1,1,0
user_0555,whimsicalism,distractor,0,1,1
user_0556,whatshisface,query,1,1,0
user_0557,whalesalad,query,1,1,0
user_0558,wglb,distractor,0,1,1
user_0559,westurner,query,1,1,0
user_0560,weinzierl,distractor,0,1,1
user_0561,webmaven,distractor,0,1,1
user_0562,weberc2,distractor,0,1,1
user_0563,systemvoltage,query,1,1,0
user_0564,syshum,query,1,1,0
user_0565,swyx,distractor,0,1,1
user_0566,roenxi,query,1,1,0
user_0567,rtkwe,query,1,1,0
user_0568,rsynnott,query,1,1,0
user_0569,rsync,distractor,0,1,1
user_0570,roywiggins,query,1,1,0
user_0571,rowanG077,query,1,1,0
user_0572,rossdavidh,distractor,0,1,1
user_0573,rootusrootus,distractor,0,1,1
user_0574,rolph,distractor,0,1,1
user_0575,rokhayakebe,query,1,1,0
user_0576,roel_v,distractor,0,1,1
user_0577,rimantas,query,1,1,0
user_0578,rocqua,distractor,0,1,1
user_0579,robryan,query,1,1,0
user_0580,robotresearcher,distractor,0,1,1
user_0581,robomartin,query,1,1,0
user_0582,robocat,distractor,0,1,1
user_0583,robin_reala,distractor,0,1,1
user_0584,robertlagrant,query,1,1,0
user_0585,rob74,query,1,1,0
user_0586,rms,distractor,0,1,1
user_0587,rtpg,distractor,0,1,1
user_0588,run4yourlives,distractor,0,1,1
user_0589,runarberg,query,1,1,0
user_0590,runjake,distractor,0,1,1
user_0591,sangnoir,query,1,1,0
user_0592,sandworm101,query,1,1,0
user_0593,sanderjd,query,1,1,0
user_0594,sandGorgon,query,1,1,0
user_0595,samstave,distractor,0,1,1
user_0596,sametmax,distractor,0,1,1
user_0597,samatman,distractor,0,1,1
user_0598,salawat,query,1,1,0
user_0599,saiya-jin,query,1,1,0
user_0600,saghm,query,1,1,0
user_0601,saalweachter,distractor,0,1,1
user_0602,saagarjha,query,1,1,0
user_0603,s1artibartfast,query,1,1,0
user_0604,ryanwaggoner,query,1,1,0
user_0605,ryanlol,query,1,1,0
user_0606,ryandrake,distractor,0,1,1
user_0607,rwmj,distractor,0,1,1
user_0608,rvz,distractor,0,1,1
user_0609,rurban,query,1,1,0
user_0610,rmc,query,1,1,0
user_0611,rightbyte,query,1,1,0
user_0612,swombat,distractor,0,1,1
user_0613,quotemstr,distractor,0,1,1
user_0614,ravenstine,query,1,1,0
user_0615,rasz,distractor,0,1,1
user_0616,randomdata,distractor,0,1,1
user_0617,randallsquared,query,1,1,0
user_0618,raldi,distractor,0,1,1
user_0619,rahimnathwani,query,1,1,0
user_0620,raganwald,query,1,1,0
user_0621,r00fus,query,1,1,0
user_0622,qwerty456127,query,1,1,0
user_0623,quickthrower2,distractor,0,1,1
user_0624,riffraff,query,1,1,0
user_0625,quantified,distractor,0,1,1
user_0626,pyre,distractor,0,1,1
user_0627,pydry,distractor,0,1,1
user_0628,pvg,distractor,0,1,1
user_0629,pvaldes,distractor,0,1,1
user_0630,pstuart,query,1,1,0
user_0631,pseudalopex,distractor,0,1,1
user_0632,protomyth,distractor,0,1,1
user_0633,pron,distractor,0,1,1
user_0634,raverbashing,query,1,1,0
user_0635,rayiner,query,1,1,0
user_0636,rbanffy,distractor,0,1,1
user_0637,rcarmo,query,1,1,0
user_0638,ricardobeat,distractor,0,1,1
user_0639,rhizome,distractor,0,1,1
user_0640,rglullis,distractor,0,1,1
user_0641,renewiltord,query,1,1,0
user_0642,remram,query,1,1,0
user_0643,rektide,query,1,1,0
user_0644,reitanqild,query,1,1,0
user_0645,regularfry,distractor,0,1,1
user_0646,refurb,distractor,0,1,1
user_0647,refulgentis,query,1,1,0
user_0648,recursive,distractor,0,1,1
user_0649,reaperducer,distractor,0,1,1
user_0650,realusername,query,1,1,0
user_0651,readthenotes1,query,1,1,0
user_0652,rdtsc,query,1,1,0
user_0653,rdl,query,1,1,0
user_0654,rcxdude,distractor,0,1,1
user_0655,rconti,query,1,1,0
user_0656,rchaud,query,1,1,0
user_0657,sanxiyn,query,1,1,0
user_0658,saraid216,distractor,0,1,1
user_0659,satvikpendem,query,1,1,0
user_0660,sokoloff,query,1,1,0
user_0661,sph,distractor,0,1,1
user_0662,speedgoose,query,1,1,0
user_0663,specialist,query,1,1,0
user_0664,sp332,query,1,1,0
user_0665,soulofmischief,distractor,0,1,1
user_0666,sophacles,query,1,1,0
user_0667,soperj,distractor,0,1,1
user_0668,somenameforme,query,1,1,0
user_0669,solarkraft,distractor,0,1,1
user_0670,sofixa,query,1,1,0
user_0671,saurik,distractor,0,1,1
user_0672,snvzz,query,1,1,0
user_0673,snowwrestler,query,1,1,0
user_0674,sneak,distractor,0,1,1
user_0675,smt88,query,1,1,0
user_0676,smsm42,query,1,1,0
user_0677,smcl,query,1,1,0
user_0678,smacktoward,query,1,1,0
user_0679,smackfu,distractor,0,1,1
user_0680,sliverstorm,distractor,0,1,1
user_0681,squarefoot,distractor,0,1,1
user_0682,sschueller,distractor,0,1,1
user_0683,stale2002,distractor,0,1,1
user_0684,standardUser,distractor,0,1,1
user_0685,swiley,query,1,1,0
user_0686,swah,query,1,1,0
user_0687,superkuh,query,1,1,0
user_0688,sudosysgen,query,1,1,0
user_0689,stuaxo,distractor,0,1,1
user_0690,stronglikedan,query,1,1,0
user_0691,stouset,distractor,0,1,1
user_0692,stjohnswarts,query,1,1,0
user_0693,stingraycharles,query,1,1,0
user_0694,stickfigure,distractor,0,1,1
user_0695,steveklabnik,distractor,0,1,1
user_0696,stevekemp,distractor,0,1,1
user_0697,steve_adams_86,query,1,1,0
user_0698,stephenr,distractor,0,1,1
user_0699,stephengillie,query,1,1,0
user_0700,stcredzero,query,1,1,0
user_0701,stavros,query,1,1,0
user_0702,staunch,query,1,1,0
user_0703,staticassertion,distractor,0,1,1
user_0704,slg,distractor,0,1,1
user_0705,slater,query,1,1,0
user_0706,skydhash,query,1,1,0
user_0707,shagie,query,1,1,0
user_0708,sgt101,distractor,0,1,1
user_0709,sgt,distractor,0,1,1
user_0710,seydor,query,1,1,0
user_0711,sethammons,distractor,0,1,1
user_0712,sergiotapia,distractor,0,1,1
user_0713,semi-extrinsic,query,1,1,0
user_0714,selimthegrim,distractor,0,1,1
user_0715,seibelj,query,1,1,0
user_0716,seba_dos1,query,1,1,0
user_0717,seanmcdirmid,query,1,1,0
user_0718,seanhunter,query,1,1,0
