pool,user_id,n_chunks,bucket,n_words,local_chars,gpt4o_chars,char_ratio_local_over_gpt4o,local_traits,gpt4o_traits,dup_rate,truncated,top1_correct,hit_at_15
pool_en,user_582ff5b2,4,4-6,33800,5765,593,9.721753794266442,191,17,0.644,True,False,False
pool_en,user_586752e4,4,4-6,25642,420,487,0.8624229979466119,12,15,0.0,False,True,True
pool_en,user_58bfeaad,4,4-6,24601,645,436,1.4793577981651376,35,12,0.0,False,False,False
pool_en,user_5a6f92a6,4,4-6,35649,4072,292,13.945205479452055,157,9,0.0064,True,True,True
pool_en,user_63110023,4,4-6,28168,2357,583,4.042881646655232,59,13,0.0,False,False,False
pool_en,user_6427334a,4,4-6,23133,5797,569,10.18804920913884,224,15,0.5938,True,True,True
pool_en,user_65d73ac1,4,4-6,22473,323,325,0.9938461538461538,17,11,0.0,False,True,True
pool_en,user_69df6330,4,4-6,34603,2797,561,4.9857397504456324,220,12,0.0318,True,False,False
pool_en,user_6fa47d61,4,4-6,27472,1167,491,2.3767820773930755,85,14,0.0,False,True,True
pool_en,user_74025dc0,4,4-6,23260,3269,613,5.33278955954323,129,12,0.0,True,False,False
pool_en,user_75905116,4,4-6,28237,684,303,2.257425742574257,28,10,0.0,False,False,False
pool_en,user_7709815a,4,4-6,26370,1957,334,5.859281437125748,137,11,0.0146,True,False,False
pool_en,user_7b2d0be1,4,4-6,21984,546,539,1.0129870129870129,27,13,0.0,False,False,False
pool_en,user_7c7220a4,4,4-6,23503,886,622,1.4244372990353698,43,17,0.0,False,False,False
pool_en,user_823846de,4,4-6,28541,3963,611,6.486088379705401,220,13,0.45,True,True,True
pool_en,user_85810097,4,4-6,23960,911,658,1.384498480243161,65,17,0.0,False,False,False
pool_en,user_8713f22a,4,4-6,23866,1128,576,1.9583333333333333,38,11,0.0,False,False,False
pool_en,user_8fe14601,4,4-6,24537,819,602,1.3604651162790697,29,15,0.0,False,False,False
pool_en,user_9600e8bf,4,4-6,26345,1438,494,2.9109311740890687,70,14,0.0429,False,False,False
pool_en,user_96c3cc43,4,4-6,35939,757,665,1.1383458646616542,27,16,0.0,False,False,False
pool_en,user_979ee068,4,4-6,22924,755,489,1.543967280163599,45,13,0.0,False,True,True
pool_en,user_98f18241,4,4-6,25268,3714,424,8.75943396226415,104,13,0.0,True,True,True
pool_en,user_9991e1d8,4,4-6,28945,4446,454,9.79295154185022,311,13,0.582,False,False,False
pool_en,user_9b6481e4,4,4-6,21743,1628,626,2.6006389776357826,71,14,0.0,False,False,False
pool_en,user_9d8095fc,4,4-6,23539,2114,399,5.298245614035087,60,12,0.0833,False,True,True
pool_en,user_9e328c4e,4,4-6,22428,6018,476,12.642857142857142,91,12,0.6374,True,True,True
pool_en,user_a2f8bfd2,4,4-6,25006,3042,592,5.138513513513513,152,15,0.0066,False,True,True
pool_en,user_a743aff9,4,4-6,33018,390,679,0.5743740795287187,20,18,0.0,False,False,False
pool_en,user_a973cf8e,4,4-6,22009,679,541,1.255083179297597,25,14,0.0,False,True,True
pool_en,user_b325310b,4,4-6,34442,1503,591,2.5431472081218276,82,16,0.0,True,True,True
pool_en,user_b49274ca,4,4-6,25787,4245,417,10.179856115107913,185,13,0.4,True,False,False
pool_en,user_b6350ec1,4,4-6,22638,3254,517,6.294003868471954,135,13,0.6296,True,False,True
pool_en,user_b63ea1d4,4,4-6,33477,4742,472,10.046610169491526,97,13,0.6186,False,True,True
pool_en,user_bb8be7e3,4,4-6,31211,3391,254,13.350393700787402,166,9,0.006,False,True,True
pool_en,user_bdcc6e7d,4,4-6,31460,1085,541,2.0055452865064693,39,15,0.0,False,False,False
pool_en,user_beca29a3,4,4-6,28181,1418,541,2.621072088724584,85,16,0.0,False,True,True
pool_en,user_bf30f80d,4,4-6,37875,1628,605,2.690909090909091,64,20,0.0,False,False,False
pool_en,user_c536b01d,4,4-6,34769,749,451,1.6607538802660753,22,13,0.0,False,True,True
pool_en,user_e0c65725,4,4-6,24902,4285,444,9.6509009009009,175,12,0.8686,True,False,False
pool_en,user_e14b88a8,4,4-6,26897,4376,717,6.103207810320781,105,19,0.5238,True,True,True
pool_en,user_e4f8ab0c,4,4-6,32181,1213,653,1.8575803981623278,32,16,0.0,False,False,False
pool_en,user_e802076d,4,4-6,27634,773,581,1.3304647160068848,35,14,0.0,False,True,True
pool_en,user_f030b951,4,4-6,28974,745,726,1.0261707988980717,49,15,0.0,False,True,True
pool_en,user_f5138e15,4,4-6,31699,4909,636,7.718553459119497,241,13,0.0,True,True,True
pool_en,user_f5e2976e,4,4-6,29066,553,727,0.7606602475928473,16,19,0.0,False,False,False
pool_en,user_f7538815,4,4-6,29183,980,551,1.778584392014519,38,10,0.0,False,True,True
pool_en,user_0a245f61,3,2-3,22317,4068,572,7.111888111888112,179,18,0.7765,True,True,True
pool_en,user_1302cb61,3,2-3,16378,2050,432,4.74537037037037,88,14,0.0,True,False,False
pool_en,user_17607ebc,3,2-3,16213,2069,547,3.7824497257769654,65,14,0.0154,False,False,False
pool_en,user_1b7f8c56,3,2-3,19017,716,377,1.8992042440318302,40,11,0.0,False,True,True
pool_en,user_205d25f3,3,2-3,20896,1261,705,1.7886524822695036,34,16,0.0,False,False,False
pool_en,user_2920b35e,3,2-3,19581,6822,786,8.679389312977099,186,20,0.5699,True,False,False
pool_en,user_29cd4556,3,2-3,21169,6405,487,13.151950718685832,242,12,0.9174,True,False,False
pool_en,user_2c940ff8,3,2-3,20591,428,420,1.019047619047619,20,14,0.0,False,True,True
pool_en,user_30802254,3,2-3,18040,1553,504,3.0813492063492065,84,16,0.0,False,True,True
pool_en,user_40a0bad3,3,2-3,19821,348,517,0.6731141199226306,16,13,0.0,False,True,True
pool_en,user_4b8335bd,3,2-3,15234,1027,508,2.0216535433070866,41,14,0.0,False,False,False
pool_en,user_4e42bf97,3,2-3,22444,350,751,0.46604527296937415,17,20,0.0,False,False,False
pool_en,user_5f4ee256,3,2-3,21433,1177,631,1.8652931854199684,6,17,0.0,False,False,False
pool_en,user_6169d3b8,3,2-3,20242,246,434,0.5668202764976958,12,11,0.0,False,True,True
pool_en,user_6d421600,3,2-3,22474,1125,511,2.2015655577299413,51,13,0.0,False,True,True
pool_en,user_72bed676,3,2-3,21207,1288,588,2.1904761904761907,42,12,0.0,False,True,True
pool_en,user_74cfb8ef,3,2-3,24360,4913,830,5.919277108433735,314,24,0.6433,True,False,True
pool_en,user_7924afc9,3,2-3,20466,447,480,0.93125,26,13,0.0,False,False,False
pool_en,user_79f04645,3,2-3,22797,3773,834,4.523980815347722,1,20,0.0,True,False,False
pool_en,user_7c45fa70,3,2-3,15183,601,383,1.5691906005221932,19,11,0.0,False,True,True
pool_en,user_8006727d,3,2-3,17919,3036,560,5.421428571428572,162,13,0.4259,True,False,False
pool_en,user_8d85acb5,3,2-3,22465,418,454,0.920704845814978,20,11,0.0,False,True,True
pool_en,user_8dd20d7f,3,2-3,22412,473,751,0.62982689747004,23,21,0.0,False,True,True
pool_en,user_906e2423,3,2-3,23010,1091,627,1.7400318979266347,53,16,0.0,False,True,True
pool_en,user_916503d6,3,2-3,18494,5969,619,9.64297253634895,200,20,0.79,False,False,False
pool_en,user_9e39a95d,3,2-3,20883,436,700,0.6228571428571429,21,16,0.0,False,False,False
pool_en,user_a4ae4e77,3,2-3,17297,1988,431,4.612529002320185,80,18,0.0,False,False,False
pool_en,user_a9ed5193,3,2-3,19970,765,560,1.3660714285714286,59,12,0.0169,False,True,True
pool_en,user_ab439a92,3,2-3,19420,2059,531,3.87758945386064,112,12,0.0,True,False,True
pool_en,user_ab8e847b,3,2-3,17110,1359,364,3.7335164835164836,51,10,0.0,False,True,True
pool_en,user_acb899e9,3,2-3,19657,3960,607,6.523887973640857,157,18,0.7261,True,False,False
pool_en,user_acd6ddfb,3,2-3,23450,1014,818,1.2396088019559903,46,19,0.0,False,False,False
pool_en,user_b9036662,3,2-3,21931,392,566,0.6925795053003534,21,17,0.0,False,True,True
pool_en,user_ba010eec,3,2-3,20646,1278,702,1.8205128205128205,65,16,0.0,False,True,True
pool_en,user_ba463257,3,2-3,19651,4876,731,6.6703146374829005,301,17,0.3422,False,False,False
pool_en,user_c157ca97,3,2-3,21643,766,473,1.6194503171247356,34,10,0.0,False,False,False
pool_en,user_c60d65b5,3,2-3,21824,1334,529,2.5217391304347827,75,13,0.0133,False,True,True
pool_en,user_cb2fe204,3,2-3,20461,4609,390,11.817948717948719,201,13,0.7065,True,False,False
pool_en,user_dd0bd02d,3,2-3,21599,2939,372,7.900537634408602,93,12,0.0,False,True,True
pool_en,user_e8e9acac,3,2-3,20191,699,736,0.9497282608695652,34,15,0.0,False,True,True
pool_en,user_ed1aaed8,3,2-3,19846,502,579,0.8670120898100173,29,16,0.0,False,False,False
pool_en,user_f0b144fc,3,2-3,22430,3136,742,4.226415094339623,125,17,0.848,True,True,True
pool_en,user_f368b9da,3,2-3,21512,2771,604,4.587748344370861,201,14,0.204,False,True,True
pool_en,user_f8e2246f,3,2-3,17434,1625,478,3.399581589958159,120,13,0.1083,True,False,True
pool_en,user_fa60616d,3,2-3,21241,3984,567,7.026455026455026,104,17,0.0,True,True,True
pool_en,user_fdc08e26,3,2-3,21392,1250,678,1.8436578171091444,35,15,0.0,False,False,False
pool_en,user_fdcaaf41,3,2-3,20105,566,375,1.5093333333333334,19,10,0.0,False,False,False
pool_en,user_0168255c,2,2-3,11562,287,581,0.4939759036144578,12,17,0.0,False,False,False
pool_en,user_02d03e8a,2,2-3,15068,529,513,1.0311890838206628,20,11,0.0,False,True,True
pool_en,user_04d29f9c,2,2-3,11844,685,512,1.337890625,21,14,0.0,False,True,True
pool_en,user_058c1800,2,2-3,13667,5627,562,10.012455516014235,187,19,0.6524,True,False,False
pool_en,user_0697c470,2,2-3,13592,930,655,1.4198473282442747,23,21,0.0,False,False,True
pool_en,user_08aa624b,2,2-3,13014,786,522,1.5057471264367817,31,13,0.0,False,True,True
pool_en,user_08c32973,2,2-3,17342,993,572,1.736013986013986,28,18,0.0,False,True,True
pool_en,user_0a0bcaa6,2,2-3,16084,912,433,2.1062355658198615,29,10,0.0,False,False,False
pool_en,user_107259c3,2,2-3,12138,544,404,1.3465346534653466,13,11,0.0,False,True,True
pool_en,user_10e64e28,2,2-3,12938,1284,791,1.6232616940581541,70,22,0.0,False,False,False
pool_en,user_126670d7,2,2-3,14298,507,444,1.1418918918918919,17,11,0.0,False,True,True
pool_en,user_13f8ee07,2,2-3,12331,384,570,0.6736842105263158,17,19,0.0,False,True,True
pool_en,user_13fb2e34,2,2-3,10420,608,473,1.285412262156448,18,14,0.0,False,True,True
pool_en,user_147d1bbb,2,2-3,12128,627,552,1.1358695652173914,48,16,0.0208,False,False,False
pool_en,user_164fe4b8,2,2-3,18155,581,488,1.1905737704918034,24,13,0.0,False,True,True
pool_en,user_16b87e34,2,2-3,18096,745,599,1.2437395659432386,29,15,0.0,False,False,False
pool_en,user_183b3783,2,2-3,15092,1505,478,3.1485355648535567,125,13,0.0,True,False,False
pool_en,user_18c333c6,2,2-3,10109,3368,521,6.464491362763916,119,13,0.8571,True,False,False
pool_en,user_194b92fc,2,2-3,15475,834,592,1.4087837837837838,27,15,0.0,False,True,True
pool_en,user_1a4bec69,2,2-3,16877,4896,688,7.116279069767442,271,18,0.7749,True,True,True
pool_en,user_1b2d69c1,2,2-3,14693,5642,709,7.957686882933709,154,22,0.7468,True,True,True
pool_en,user_1b89f77a,2,2-3,18633,242,506,0.4782608695652174,17,14,0.0,False,False,False
pool_en,user_1dc24686,2,2-3,18017,543,484,1.121900826446281,28,10,0.0,False,False,False
pool_en,user_1df51301,2,2-3,15594,564,689,0.818577648766328,27,16,0.0,False,False,False
pool_en,user_1e302679,2,2-3,19862,1505,548,2.7463503649635035,69,12,0.0,False,True,True
pool_en,user_21b4fa31,2,2-3,15183,622,494,1.2591093117408907,33,14,0.0,False,True,True
pool_en,user_25798310,2,2-3,11486,624,360,1.7333333333333334,31,15,0.0,False,False,False
pool_en,user_25b48a9a,2,2-3,16253,918,620,1.4806451612903226,31,14,0.0,False,False,True
pool_en,user_26565155,2,2-3,10577,860,351,2.45014245014245,27,11,0.0,False,True,True
pool_en,user_26fa9d90,2,2-3,9691,186,538,0.34572490706319703,14,14,0.0,False,False,False
pool_en,user_2a704b9c,2,2-3,11293,1029,759,1.3557312252964426,36,17,0.0,False,False,False
pool_en,user_2a94c885,2,2-3,11661,816,628,1.2993630573248407,24,16,0.0,False,False,False
pool_en,user_2b271761,2,2-3,14559,912,439,2.0774487471526197,29,17,0.0,False,False,False
pool_en,user_2c3eb234,2,2-3,11753,776,370,2.097297297297297,47,12,0.0,False,False,False
pool_en,user_2c69b83e,2,2-3,17997,1060,583,1.8181818181818181,27,13,0.0,False,False,False
pool_en,user_2d74cd4c,2,2-3,12899,363,326,1.1134969325153374,15,11,0.0,False,False,False
pool_en,user_2dc10d2d,2,2-3,11484,447,362,1.2348066298342542,24,10,0.0,False,False,True
pool_en,user_2eb5d860,2,2-3,17985,1188,423,2.8085106382978724,92,14,0.0,False,True,True
pool_en,user_2efde048,2,2-3,20524,4723,486,9.718106995884774,422,14,0.846,False,True,True
pool_en,user_2f766c23,2,2-3,13598,269,650,0.41384615384615386,19,18,0.0,False,False,False
pool_en,user_3121653d,2,2-3,13833,629,501,1.255489021956088,30,12,0.0,False,False,False
pool_en,user_32ae32f9,2,2-3,10994,517,591,0.8747884940778342,30,16,0.0,False,True,True
pool_en,user_3353b96b,2,2-3,14360,2327,625,3.7232,79,14,0.0506,False,True,True
pool_en,user_338e1332,2,2-3,13525,1842,540,3.411111111111111,66,12,0.0,False,False,False
pool_en,user_37be663c,2,2-3,16115,295,405,0.7283950617283951,14,12,0.0,False,True,True
pool_en,user_38390331,2,2-3,18535,337,523,0.6443594646271511,14,14,0.0,False,False,False
pool_en,user_3850eb9e,2,2-3,16898,984,632,1.5569620253164558,29,15,0.0,False,True,True
pool_en,user_3b1da5d9,2,2-3,13307,662,449,1.4743875278396437,21,11,0.0,False,False,False
pool_en,user_3b90fb53,2,2-3,8633,219,482,0.45435684647302904,10,12,0.0,False,False,False
pool_en,user_3ce4c1f8,2,2-3,13391,335,691,0.48480463096960924,15,21,0.0,False,False,False
pool_en,user_3f2894b5,2,2-3,12200,4705,550,8.554545454545455,163,15,0.2883,True,False,False
pool_en,user_3f798a8b,2,2-3,17470,507,606,0.8366336633663366,47,12,0.0,False,False,False
pool_en,user_3ff3188b,2,2-3,17836,590,588,1.0034013605442176,37,15,0.0,False,False,False
pool_en,user_3ff88cf0,2,2-3,12469,371,512,0.724609375,21,16,0.0,False,True,True
pool_en,user_40efa894,2,2-3,11209,620,493,1.2576064908722109,24,15,0.0,False,False,False
pool_en,user_433bdef0,2,2-3,11848,1578,393,4.015267175572519,76,10,0.0,False,False,False
pool_en,user_44567221,2,2-3,11525,347,399,0.8696741854636592,15,11,0.0,False,False,False
pool_en,user_454733da,2,2-3,13155,620,613,1.0114192495921697,50,13,0.0,False,True,True
pool_en,user_45926b89,2,2-3,12161,506,526,0.9619771863117871,15,12,0.0,False,True,True
pool_en,user_45d008d3,2,2-3,15545,6218,512,12.14453125,177,12,0.0056,True,False,False
pool_en,user_4607d25d,2,2-3,14863,671,552,1.2155797101449275,30,16,0.0,False,False,False
pool_en,user_46e2e7ec,2,2-3,14764,792,462,1.7142857142857142,23,12,0.0,False,True,True
pool_en,user_4aaa8404,2,2-3,13149,243,636,0.38207547169811323,12,21,0.0,False,True,True
pool_en,user_4ab9d510,2,2-3,19199,1127,464,2.4288793103448274,30,11,0.0,False,False,False
pool_en,user_4b139395,2,2-3,15872,4618,548,8.427007299270073,255,17,0.9529,True,False,False
pool_en,user_4cad4295,2,2-3,17271,335,495,0.6767676767676768,29,14,0.0,False,False,False
pool_en,user_4d4f73a6,2,2-3,9085,601,577,1.0415944540727904,42,13,0.0,False,False,False
pool_en,user_4e54f3d7,2,2-3,10457,752,670,1.1223880597014926,31,21,0.0,False,False,False
pool_en,user_4f8b6987,2,2-3,15554,420,615,0.6829268292682927,19,15,0.0,False,False,False
pool_en,user_524450e9,2,2-3,17299,363,687,0.5283842794759825,18,18,0.0,False,False,False
pool_en,user_54c1ebee,2,2-3,16380,370,568,0.6514084507042254,11,16,0.0,False,False,False
pool_en,user_56980aa9,2,2-3,11559,764,585,1.305982905982906,39,19,0.0,False,True,True
pool_en,user_58892c7c,2,2-3,14640,623,417,1.4940047961630696,15,13,0.0,False,False,False
pool_en,user_5ac1a174,2,2-3,14407,346,447,0.7740492170022372,14,14,0.0,False,False,True
pool_en,user_5c5a0b40,2,2-3,13164,1223,442,2.766968325791855,53,13,0.0,False,False,False
pool_en,user_5c82df31,2,2-3,14914,963,580,1.660344827586207,55,20,0.0,False,False,False
pool_en,user_5d1b0daf,2,2-3,11169,1042,535,1.9476635514018692,30,12,0.0,False,False,False
pool_en,user_61f90240,2,2-3,13972,538,485,1.109278350515464,19,12,0.0,False,False,True
pool_en,user_6476648d,2,2-3,16838,618,801,0.7715355805243446,52,18,0.0,False,False,False
pool_en,user_649f4327,2,2-3,11173,482,480,1.0041666666666667,30,15,0.0,False,False,False
pool_en,user_657c72ca,2,2-3,17524,507,551,0.9201451905626135,24,14,0.0,False,False,False
pool_en,user_68d19df8,2,2-3,17816,362,511,0.7084148727984344,14,10,0.0,False,False,False
pool_en,user_69193575,2,2-3,18756,413,393,1.0508905852417303,36,12,0.0,False,False,False
pool_en,user_69a4dd06,2,2-3,17192,6796,567,11.98589065255732,179,15,0.838,False,False,False
pool_en,user_6ab1739a,2,2-3,12123,811,374,2.1684491978609626,47,12,0.0,False,False,False
pool_en,user_6ab8f7d4,2,2-3,8912,495,356,1.3904494382022472,42,10,0.0,False,False,False
pool_en,user_6d071251,2,2-3,16192,1708,722,2.365650969529086,61,21,0.0,False,True,True
pool_en,user_6d2cb415,2,2-3,17370,629,578,1.088235294117647,42,15,0.0,False,False,False
pool_en,user_6f1b0197,2,2-3,13934,602,561,1.0730837789661318,17,13,0.0,False,False,False
pool_en,user_6fc85c06,2,2-3,14744,268,516,0.5193798449612403,13,15,0.0,False,True,True
pool_en,user_6fccf8b5,2,2-3,16723,2376,558,4.258064516129032,60,10,0.0,False,False,False
pool_en,user_723406a0,2,2-3,20499,936,499,1.8757515030060121,24,12,0.0,False,True,True
pool_en,user_7322f4ef,2,2-3,10071,364,585,0.6222222222222222,15,15,0.0,False,False,False
pool_en,user_737d3148,2,2-3,18341,2097,493,4.253549695740365,43,12,0.0,False,True,True
pool_en,user_73f34c5d,2,2-3,13590,2425,616,3.936688311688312,69,14,0.0145,False,False,False
pool_en,user_756e2f00,2,2-3,12876,1224,351,3.4871794871794872,51,11,0.0,False,False,False
pool_en,user_7f623d19,2,2-3,19045,1003,561,1.7878787878787878,26,12,0.0,False,True,True
pool_en,user_7fef9da8,2,2-3,16900,4778,614,7.7817589576547235,126,19,0.6032,True,True,True
pool_en,user_80dc757f,2,2-3,11699,509,634,0.8028391167192429,28,28,0.0,False,False,False
pool_en,user_81a80789,2,2-3,13787,474,581,0.8158347676419966,31,18,0.0,False,False,False
pool_en,user_8285a696,2,2-3,14948,2726,728,3.7445054945054945,160,22,0.65,False,False,False
pool_en,user_82879210,2,2-3,18188,997,677,1.4726735598227474,26,13,0.0,False,True,True
pool_en,user_829844fd,2,2-3,18621,3598,545,6.601834862385321,131,15,0.6718,True,False,False
pool_en,user_82d93459,2,2-3,10488,590,615,0.959349593495935,21,19,0.0,False,False,False
pool_en,user_83e45cc0,2,2-3,21421,1145,424,2.7004716981132075,26,11,0.0,False,True,True
pool_en,user_84703a6e,2,2-3,10255,270,534,0.5056179775280899,12,13,0.0,False,False,False
pool_en,user_84c14a6f,2,2-3,17129,1215,465,2.6129032258064515,44,14,0.0,False,True,True
pool_en,user_86685a27,2,2-3,13373,505,582,0.8676975945017182,44,14,0.0,False,False,False
pool_en,user_869fcb2b,2,2-3,14414,4471,382,11.704188481675393,178,9,0.4607,True,False,False
pool_en,user_88f46c7b,2,2-3,9858,593,559,1.0608228980322003,26,17,0.0,False,True,True
pool_en,user_89f449b4,2,2-3,12479,349,454,0.7687224669603524,19,12,0.0,False,False,False
pool_en,user_8a760553,2,2-3,12950,472,668,0.7065868263473054,24,19,0.0,False,False,False
pool_en,user_8afa3eba,2,2-3,9864,785,569,1.3796133567662565,30,13,0.0,False,False,False
pool_en,user_8d968cfb,2,2-3,12383,224,453,0.49448123620309054,11,13,0.0,False,False,False
pool_en,user_8e97a154,2,2-3,17682,3903,589,6.626485568760611,128,13,0.25,True,False,False
pool_en,user_8f08aa94,2,2-3,15935,491,511,0.9608610567514677,20,13,0.0,False,True,True
pool_en,user_90202189,2,2-3,10325,321,582,0.5515463917525774,15,18,0.0,False,False,False
pool_en,user_902af20f,2,2-3,18283,658,534,1.2322097378277153,26,14,0.0,False,True,True
pool_en,user_903329bb,2,2-3,16184,4043,516,7.8352713178294575,80,14,0.0,True,False,False
pool_en,user_920c074a,2,2-3,10707,684,657,1.0410958904109588,35,19,0.0,False,False,False
pool_en,user_938164a5,2,2-3,16691,536,410,1.3073170731707318,31,13,0.0,False,False,False
pool_en,user_943e4045,2,2-3,14821,563,657,0.8569254185692542,26,15,0.0,False,False,False
pool_en,user_954805d7,2,2-3,14949,991,675,1.4681481481481482,22,16,0.0,False,False,False
pool_en,user_95d648bc,2,2-3,10753,567,664,0.8539156626506024,36,20,0.0,False,False,False
pool_en,user_96013176,2,2-3,12861,394,307,1.283387622149837,16,9,0.0,False,False,False
pool_en,user_9692f077,2,2-3,15242,507,578,0.8771626297577855,16,15,0.0,False,False,False
pool_en,user_96d9cb9a,2,2-3,12606,412,460,0.8956521739130435,21,14,0.0,False,False,False
pool_en,user_97330742,2,2-3,10940,452,400,1.13,12,9,0.0,False,False,True
pool_en,user_9818dcae,2,2-3,12598,4867,631,7.713153724247227,292,15,0.8733,True,False,False
pool_en,user_98a676ce,2,2-3,12217,350,432,0.8101851851851852,22,16,0.0,False,True,True
pool_en,user_98ca16a6,2,2-3,11668,1659,495,3.3515151515151516,101,12,0.0,True,False,False
pool_en,user_9a307ebe,2,2-3,15040,481,509,0.9449901768172888,22,16,0.0,False,True,True
pool_en,user_9a5457b0,2,2-3,13486,1191,615,1.9365853658536585,51,14,0.0,False,False,False
pool_en,user_9bee2a7c,2,2-3,14003,323,508,0.6358267716535433,17,11,0.0,False,True,True
pool_en,user_9c5cd7fa,2,2-3,15598,282,614,0.4592833876221498,13,15,0.0,False,True,True
pool_en,user_9c7183c8,2,2-3,13841,556,542,1.0258302583025831,27,15,0.0,False,False,False
